text	sentiment
Trabajar en Ryanair como TMA:  url empleo	NEU
username username Cuando gusten en Cancún se viaja y disfruta de manera sin igual	NEU
Sabiais que username te trata muy bien en santiago de chile?Te cambia el asiento	N
NUNCA NUNCA NUNCA pidáis el café de Ryanair.	N
username username username username username username username username username Muchos éxito...  url	P
username Wow que bonito 	P
Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡...  url	NEU
Barómetro Business: Iberia (57%) y Vueling (61%) son las compañías aéreas más utilizadas en los viajes de...  url	P
username Felicitaciones IBERIA!	P
username username username Chuata	NEU
Disponibilidad aérea Internacional en los siguientes destinos:	NEU
Ahora...  url	NEU
Con username	NEU
Air France KLM	NEU
Un año de estos nos unirán con el resto de iberia. ¿No decían en Cataluña que el AVE en Galicia no era rentable?  url	N
username Lo de ryanair es penoso...yo sólo viajo con ellos si no tengo otra alternativa...	N
username Además	N
username username  username username   username username  Una suerte poder volar	P
La mejor foto tecnológica del año 2017  url WomenInTechSpain redhat username Red Hat Iberia Country Manager	NEU
📉 🔥 ¡Chollo! Maleta Aerolite barata por sólo 37	P
OMG! 🤯 Estoy viendo que Iberia tiene en agosto vuelo directo a San Francisco (y vuelta) y mi corazón está saltando...  url	P
username Iberia es la ETA Militar de las aerolineas. Mis peores experiencias han sido todas con ellos	N
username Hola Andrea. Mi pareja ya tiene sentencia firme por el abandono de Iberia en Praga. Le han indemnizado c...  url	N
username username llegando a Málaga por Ryanair	N
username username Finalmente username tuvo que proporcionarme una autorización para viajar	N
username Pues la verdad es que no. Pocas explicaciones	N
Con username	NEU
En username ofrecen un 10% de descuento a los asistentes a GijónSeCome con el código de descuento IIGIJONSECOME  url	NEU
username Hice una compra de pasaje y nunca llegó el mail con la confirmación	N
username Acabo de venir del mostrador de Atención al cliente donde me mandan a llamar al teléfono. Lo chistoso es qu...  url	N
username username username username username username username username username username...  url	N
Así fue el accidente del vuelo 5022 de Spanair	NEU
Hoy hace 90 años que Iberia levantó el vuelo y unió Madrid y Barcelona  url	NEU
Mañana regresamos a casa a pasar las fiestas y username no podrá comer nada porque username no le puede ofrecer...  url	N
username Pues ya sabes	NEU
username username username username IBERIA PERDIÓ MI MALETA HACE 5 DIAS CON MIS MEDICAMENTOS ADENTRO Y NO ME...  url	N
username Qué buenos tiempos del B-747	P
Vergonzoso. username cancela el vuelo Chicago-Madrid del 21 de diciembre porque si. Y a los que viajamos para un par...  url	N
username username username username username username ¿Cuándo he dicho yo que Ryanair haya actuado bi...  url	N
El Black Friday	NEU
Un pasajero sale por la puerta de emergencia de un avion de Ryanair cansado de esperar mas de una hora  url	N
username RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEEMOS y COMPARTAM...  url	N
username username Jajajajajja llevate el pasaporte también lu	NEU
username 	NEU
username username Yo he volado en vuelos de Niki que operaba Air Berlín. Había una colaboración estre...  url	NEU
username No atiende las reclamaciones de indemnización por retraso superior a tres horas	N
Me consta que es una vergüenza.  url	N
username username username username A mi me suena que hace tiempo llevó al Barça desde El Prat a un amistoso en el Golfo.	P
username username Calera (Iberia lo apoya) fue al TAS	NEU
username username username username Mil gracias Luis 😘😘😘	P
Qué placer viajar con Ryanair	P
Hola username. He hecho check in con la app	P
username Hola! Mi vuelo Viena-Madrid va a salir con 15 minutos de retraso gracias a username Tengo un billete...  url	N
username Ahorrar está sobrevalorado	P
username me siento estafado	N
Deberían quitarles la licencia y que sean otras compañías más serias las que ocupen su lugar.  url	N
Ryanair pide a sus pilotos que abandonen sus planes de huelga  url username	N
username username Yo puse una reclamación una vez porque username me metió en un avión que parecía de la Primera Guerra Mundial!!!!	N
username username Felicitaciones	P
username username username Buen despegue!!. A veces veo spotters en esa zona	P
IAG transportó un 4	P
username Felices fiestas!!! Es una pena que ya los venezolanos no podamos volar con ustedes. Mi experiencia siempre...  url	P
Antonio Baldellou	NEU
Iberia Tripulante de Cabina de Pasajeros  url	NEU
Primer vuelo de mi vida perdido gracias a la ayuda de username username worstflightcompany	N
Hoy iberia cumple 90 años de su primer vuelo. Felicidades!!!! AvGeek PasionPorLaAviacion en...  url	NEU
Descubre Shanghai	N
Los de Ryanair son un poco guarretes jajaja no volaba cn ellos ni aunque me pagaran.  url vía username	N
Iberia ampliará sus vuelos semanales a Buenos Aires.	NEU
username dos asientos juntos. Pueden explicarme si es la nueva política de Iberia para fidelizar clientes? Y si puedo arreglarlo.	NEU
Gracias username por el regalazo de navidad! 🎄🎁 Upgrade a Business en un vuelo de 10 horas no tiene precio! 🙏🏻	P
Así fue el accidente del vuelo 5022 de Spanair	N
username username Idoya	NEU
username Madrid.	NEU
username buenas noche🌟🌟  url	P
username Pues menudo timo username username username username	N
username username Que verguenza! Dentro de lo malo quedo en un aeropuerto donde maneja el idioma. Que la puedas abrazar pronto.	N
Ryanair y United	N
username Pero es la mejor	NEU
EL SALVADOR y DIPUTADOS no abren el espacio aereo a las AEROLINEAS como RyanAir 	NEU
Ale	N
El viaje de la semana pasada a San Francisco me sirvió para subir de categoría username Plus. Mañana	P
username username Reclama. El billete tiene seguro.	NEU
username username Madre mía..... mana de gilipollas	N
username origen del vuelo Turín en avión de Iberia Airnostrum para su conocimiento. Tomen nota  url	N
username username ¡Dios mío! Hablando así inglés se parece a las azafatas de Iberia !	N
Iberia regala smartphones a los 200 pasajeros de un vuelo. La Chispa | Revista de turismo  url  url	P
username username Hoy en el aeropuerto en la ventana de username username nadie sabía nada de los vuelos a H...  url	N
username username Hacemos alcanzable lo inalcanzable Ryanair	P
A qué esperan Renfe e Iberia para suspender todas sus relaciones de transporte con CataluÑa?	N
Todo en exceso es malo	P
La aerolínea username tendrá nuevas conexiones en 2018 desde el aeropuerto de Madrid hacia Managua y SanFrancisco  url	NEU
Los pilotos Ryanair en Alemania harán huelga este viernes	NEU
Hoy se cumplen 90 años del primer vuelo de username ✈️🎂  url vía username Aniversario...  url	NEU
username username Claro	N
Con el asco que le tenía a username hace años	P
Ryanair desaloja a varias chicas de un avión por comportarse como “animales”  url	N
DHL coge el toro de la tecnología por los cuernos  url	P
Pues vale	N
La decisión de Ryanair sobre el equipaje de mano que va a enfadar a la mayoría de sus clientes  url	N
Recibo por mail el resumen de la tarjeta: 150€ por cinco horas de Wi-Fi! Gracias Iberia 😒	N
username fíjate que pasa con la ruta que AA deja hacer a BcN  tiene 94% ocupación pero Iberia fue beneficiada	N
The latest El Australiner Diario!  url airbus iberia	N
'Ryanair' bromea con el aeropuerto a nombre de CR7 ¿Homenaje o burla?  url 20m	NEU
Semana155M4	N
“Que pare el mundo que yo me bajo” versión mejorada 😂🤚🏼  url	NEU
Viral | Un pasajero de Ryanair enfadado sale por la puerta de emergencia del avión	NEU
username Pueden ayudarme con una maleta perdida por iberia? por favor	N
Llega el primer duelodemarcas de MarketingDirecto: Ryanair vs. easyJet ¿Cuál ganará?  url ...  url	NEU
username En la opción 3 se puede hacer mediante tarjeta crédito o débito llamando a ese numero que me facilitaron? Y...  url	NEU
username username Le doy RT	N
username tenéis suerte de ser los únicos prácticamente que voláis a Melilla porque mi maleta ha llegado 2 días tarde...  url	N
username Gracias	NEU
username username username username username username Que grande! supergex	P
La mejor presentación que he visto en todos los vuelos la realizada hoy en el IB3878 x su comandante F. Sanz. Felicidades username	P
username No	NEU
